GenbankID,GeneName,GeneCategory,Replicate,10,11,9
153185,B_lactamase_A,Antibiotic resistance,1,NA,8686.8732,2850.4814
157845100,SMR_antibiotics,Antibiotic resistance,1,NA,5905.0266,NA
606839,B_lactamase_C,Antibiotic resistance,1,NA,6081.9531,NA
152970117,SMR_antibiotics,Antibiotic resistance,1,NA,3887.4559,NA
109456040,SMR_antibiotics,Antibiotic resistance,1,NA,4904.4133,3356.8103
163738738,B_lactamase_A,Antibiotic resistance,1,NA,16993.507,NA
151365977,SMR_antibiotics,Antibiotic resistance,1,NA,5475.4805,NA
146194999,SMR_antibiotics,Antibiotic resistance,1,NA,3100.657,NA
108762496,SMR_antibiotics,Antibiotic resistance,1,NA,10528.1757,NA
196185264,MFS_antibiotic,Antibiotic resistance,1,NA,18358.5291,3184.4023
154156755,MFS_antibiotic,Antibiotic resistance,1,NA,21666.8204,NA
32262056,SMR_antibiotics,Antibiotic resistance,1,NA,2543.5982,NA
26541551,MFS_antibiotic,Antibiotic resistance,1,NA,3868.222,NA
146310004,B_lactamase_C,Antibiotic resistance,1,NA,2845.8338,NA
91200612,Mex,Antibiotic resistance,1,NA,4458.0808,NA
28853520,Mex,Antibiotic resistance,1,NA,2454.7106,1853.3737
28870754,B_lactamase_C,Antibiotic resistance,1,NA,22410.2605,NA
149745448,MATE_antibiotic,Antibiotic resistance,1,NA,5004.4025,NA
34496765,B_lactamase_C,Antibiotic resistance,1,NA,3242.2574,NA
109900423,Mex,Antibiotic resistance,1,NA,28631.5978,6162.5766
50083917,SMR_antibiotics,Antibiotic resistance,1,NA,4358.5843,NA
83858467,B_lactamase,Antibiotic resistance,1,NA,2262.0378,NA
134035522,SMR_antibiotics,Antibiotic resistance,1,NA,6639.2665,NA
154685620,B_lactamase,Antibiotic resistance,1,NA,6570.4278,NA
151561730,SMR_antibiotics,Antibiotic resistance,1,NA,4333.1233,NA
163841151,SMR_antibiotics,Antibiotic resistance,1,NA,17310.592,3121.8132
150954967,SMR_antibiotics,Antibiotic resistance,1,NA,16210.8998,NA
83636132,MFS_antibiotic,Antibiotic resistance,1,NA,38425.3219,NA
45990,B_lactamase_A,Antibiotic resistance,1,NA,3865.3599,NA
156933328,MFS_antibiotic,Antibiotic resistance,1,NA,19411.3594,NA
49611378,MATE_antibiotic,Antibiotic resistance,1,NA,7071.2254,2262.6334
126097863,SMR_antibiotics,Antibiotic resistance,1,NA,4691.6133,3560.9812
111220106,MFS_antibiotic,Antibiotic resistance,1,NA,3738.7848,NA
115423486,MATE_antibiotic,Antibiotic resistance,1,NA,6613.696,NA
37524830,B_lactamase_C,Antibiotic resistance,1,NA,18234.9783,4320.9761
75676783,SMR_antibiotics,Antibiotic resistance,1,NA,5336.7299,NA
148325,Van,Antibiotic resistance,1,NA,3438.7265,NA
2149411,B_lactamase,Antibiotic resistance,1,NA,3806.988,NA
187478859,SMR_antibiotics,Antibiotic resistance,1,NA,3069.2155,NA
146311565,SMR_antibiotics,Antibiotic resistance,1,NA,3484.1406,NA
109699047,SMR_antibiotics,Antibiotic resistance,1,NA,8737.5953,NA
171325525,SMR_antibiotics,Antibiotic resistance,1,NA,4585.281,NA
182634814,SMR_antibiotics,Antibiotic resistance,1,NA,4222.4516,NA
113868633,SMR_antibiotics,Antibiotic resistance,1,NA,6127.4612,NA
110834653,SMR_antibiotics,Antibiotic resistance,1,NA,4326.3706,NA
71553794,SMR_antibiotics,Antibiotic resistance,1,NA,12559.4292,NA
77962879,MFS_antibiotic,Antibiotic resistance,1,NA,2123.7457,NA
126651341,MFS_antibiotic,Antibiotic resistance,1,NA,12540.9152,NA
148830707,MATE_antibiotic,Antibiotic resistance,1,NA,6330.6483,NA
168824139,B_lactamase_C,Antibiotic resistance,1,NA,2660.8402,NA
120591796,SMR_antibiotics,Antibiotic resistance,1,NA,3322.4891,NA
119377250,SMR_antibiotics,Antibiotic resistance,1,NA,4265.7221,NA
15074513,MATE_antibiotic,Antibiotic resistance,1,NA,16813.483,6274.8122
51893150,MFS_antibiotic,Antibiotic resistance,1,NA,16324.2081,2353.2604
110284320,SMR_antibiotics,Antibiotic resistance,1,NA,12961.2806,NA
163847342,SMR_antibiotics,Antibiotic resistance,1,NA,3782.9528,NA
160872880,MATE_antibiotic,Antibiotic resistance,1,NA,2321.7975,NA
189341579,SMR_antibiotics,Antibiotic resistance,1,NA,5527.9345,NA
85688078,B_lactamase_A,Antibiotic resistance,1,NA,2919.1854,NA
171060316,SMR_antibiotics,Antibiotic resistance,1,NA,4388.4652,NA
86747856,SMR_antibiotics,Antibiotic resistance,1,NA,17512.7981,NA
18376627,B_lactamase_C,Antibiotic resistance,1,NA,6008.2899,NA
144897706,SMR_antibiotics,Antibiotic resistance,1,NA,12163.4984,2092.5298
91775236,SMR_antibiotics,Antibiotic resistance,1,NA,7135.523,NA
91776906,Mex,Antibiotic resistance,1,NA,18955.3667,5059.9617
161392725,Mex,Antibiotic resistance,1,NA,11764.4586,NA
