Incubation Replicate,Site,Basin,Substrate,Rate,Unamended control rate,Adjusted Rate,Microarrary Replicate,Unique mcr genes,Quantity mcrgenes,Total Methane (microM),Unamended control total,Adjusted Total
O,9,Cook Inlet gas field,Acetate,0.0265,0.1847,-0.1582,1,3,7383.8053,6.839728571,32.54428571,-25.70455714
X,9,Cook Inlet gas field,Acetate,0.0223,0.0213,0.001,1,3,7383.8053,9.090685714,7.663242857,1.427442857
O,9,Cook Inlet gas field,Propionate,0.0226,0.1847,-0.1621,1,3,7383.8053,7.3359,32.54428571,-25.20838571
X,9,Cook Inlet gas field,Propionate,0.0181,0.0213,-0.0032,1,3,7383.8053,6.125328571,7.663242857,-1.537914286
O,9,Cook Inlet gas field,Butyrate,0.2655,0.1847,0.0808,1,3,7383.8053,36.55871429,32.54428571,4.014428571
X,9,Cook Inlet gas field,Butyrate,0.2917,0.0213,0.2704,1,3,7383.8053,107.5481429,7.663242857,99.8849
O,9,Cook Inlet gas field,Valerate,0.4864,0.1847,0.3017,1,3,7383.8053,112.9571429,32.54428571,80.41285714
X,9,Cook Inlet gas field,Valerate,0.2065,0.0213,0.1852,1,3,7383.8053,47.12571429,7.663242857,39.46247143
O,10,Cook Inlet gas field,Formate,0.0167,0.3317,-0.315,1,1,7639.0289,3.212628571,1.887188571,1.32544
X,10,Cook Inlet gas field,Formate,0.0206,0.298,-0.2774,1,1,7639.0289,3.903414286,2.53916,1.364254286
O,10,Cook Inlet gas field,Acetate,0.4937,0.3317,0.162,1,1,7639.0289,2.564511429,1.887188571,0.677322857
X,10,Cook Inlet gas field,Acetate,0.4348,0.298,0.1368,1,1,7639.0289,4.739142857,2.53916,2.199982857
O,10,Cook Inlet gas field,Propionate,0.3806,0.3317,0.0489,1,1,7639.0289,2.28494,1.887188571,0.397751429
X,10,Cook Inlet gas field,Propionate,0.5077,0.298,0.2097,1,1,7639.0289,3.844785714,2.53916,1.305625714
O,10,Cook Inlet gas field,Butyrate,0.417,0.3317,0.0853,1,1,7639.0289,2.765585714,1.887188571,0.878397143
X,10,Cook Inlet gas field,Butyrate,0.384,0.298,0.086,1,1,7639.0289,2.535251429,2.53916,-0.003908571
O,10,Cook Inlet gas field,Valerate,0.4146,0.3317,0.0829,1,1,7639.0289,2.930857143,1.887188571,1.043668571
X,10,Cook Inlet gas field,Valerate,0.3162,0.298,0.0182,1,1,7639.0289,1.869685714,2.53916,-0.669474286
O,11,Cook Inlet gas field,Formate,0.7458,0.572,0.1738,1,3,74839.7853,3.864057143,1.945437143,1.91862
X,11,Cook Inlet gas field,Formate,0.7524,0.6779,0.0745,1,3,74839.7853,3.758471429,7.012628571,-3.254157143
O,11,Cook Inlet gas field,Acetate,0.7908,0.572,0.2188,1,3,74839.7853,4.459028571,1.945437143,2.513591429
