"GeneCategory","Basin","Site","AbundanceMean","AbudanceRelativeToBasinMean","AbudanceRelativeToBasinSE","AbudanceRelativeToBasinList","AbudanceRelativeToBasinCount","SEHigh","SELow","RankWithinCategory","RankWithinSite"
"Energy process","Illinois",5,12297.304045463,0.622632704355678,0.0250732255562806,"0.630824372759857-0.642585551330799-0.594488188976378",3,0.647705929911958,0.597559478799397,4,8
"Energy process","Powder",12,9459.50375234375,0.542372881355932,NA,"0.542372881355932",1,NA,NA,11,5
"Energy process","Powder",13,6664.7439,0.5,NA,"0.5",1,NA,NA,7,2
"Energy process","Powder",14,7254.05892876712,0.61864406779661,NA,"0.61864406779661",1,NA,NA,10,8
"Energy process","Powder",15,1322.1328712766,0.398305084745763,NA,"0.398305084745763",1,NA,NA,8,12
"Metal Resistance","CookInlet",6,8.92313242909988,0.692570452604611,NA,"0.692570452604611",1,NA,NA,1,7
"Metal Resistance","CookInlet",8,9.41446241872562,0.656703672075149,NA,"0.656703672075149",1,NA,NA,2,6
"Metal Resistance","CookInlet",9,6015.17226448598,0.182749786507259,NA,"0.182749786507259",1,NA,NA,14,2
"Metal Resistance","CookInlet",10,13256.2904580882,0.116140051238258,NA,"0.116140051238258",1,NA,NA,6,2
"Metal Resistance","CookInlet",11,9101.21581116389,0.359521776259607,NA,"0.359521776259607",1,NA,NA,3,9
"Metal Resistance","Illinois",1,3523.12767535221,0.241604491792467,0.0483515802146208,"0.188723051409619-0.252535851696397-0.283554572271386",3,0.289956072007088,0.193252911577847,9,15
"Metal Resistance","Illinois",2,9731.6736916126,0.56725313220382,0.0443636293178743,"0.523383084577114-0.56628191675411-0.612094395280236",3,0.611616761521694,0.522889502885946,12,1
"Metal Resistance","Illinois",3,15361.2495255152,0.734289517809256,0.00893924993542035,"0.744610281923715-0.729275970619098-0.728982300884956",3,0.743228767744676,0.725350267873836,5,8
"Metal Resistance","Illinois",4,7499.81412667267,0.296164493878814,0.109880703007694,"0.176782752902156-0.318642882126618-0.39306784660767",3,0.406045196886508,0.186283790871121,7,8
"Metal Resistance","Illinois",5,11319.785046799,0.595221371144198,0.0420523440542668,"0.622885572139304-0.61594963273872-0.546828908554572",3,0.637273715198465,0.553169027089932,11,11
"Metal Resistance","Powder",12,10044.6994770848,0.551379448220712,NA,"0.551379448220712",1,NA,NA,13,2
"Metal Resistance","Powder",13,7963.1924555429,0.526589364254298,NA,"0.526589364254298",1,NA,NA,10,4
"Metal Resistance","Powder",14,10276.9527737581,0.614954018392643,NA,"0.614954018392643",1,NA,NA,4,5
"Metal Resistance","Powder",15,1187.00997188161,0.378248700519792,NA,"0.378248700519792",1,NA,NA,8,8
"Methane Production","CookInlet",6,8.6158125,0.470588235294118,NA,"0.470588235294118",1,NA,NA,1,6
"Methane Production","CookInlet",8,9.16515,0.588235294117647,NA,"0.588235294117647",1,NA,NA,2,9
"Methane Production","CookInlet",9,2461.26843333333,0.176470588235294,NA,"0.176470588235294",1,NA,NA,14,8
"Methane Production","CookInlet",10,7639.0289,0.0588235294117647,NA,"0.0588235294117647",1,NA,NA,6,3
"Methane Production","CookInlet",11,24946.5951,0.176470588235294,NA,"0.176470588235294",1,NA,NA,3,11
"Methane Production","Illinois",1,2099.27661164983,0.14483652866537,0.0593925055986465,"0.0819672131147541-0.152542372881356-0.2",3,0.204229034264016,0.0854440230667235,9,11
"Methane Production","Illinois",2,7265.60754837121,0.572007375786203,0.0274655782730983,"0.540983606557377-0.593220338983051-0.581818181818182",3,0.599472954059301,0.544541797513105,13,15
"Methane Production","Illinois",3,10490.8632056878,0.651079845411604,0.0392923428375575,"0.688524590163934-0.610169491525424-0.654545454545455",3,0.690372188249162,0.611787502574047,12,14
"Methane Production","Illinois",4,4235.75432954545,0.145803127131274,0.0991533065155578,"0.0327868852459016-0.186440677966102-0.218181818181818",3,0.244956433646832,0.046649820615716,11,11
"Methane Production","Illinois",5,7951.71961825397,0.4566521003309,0.0192157169125655,"0.459016393442623-0.474576271186441-0.436363636363636",3,0.475867817243465,0.437436383418334,7,15
"Methane Production","Powder",12,7084.25721923077,0.619047619047619,NA,"0.619047619047619",1,NA,NA,4,10
"Methane Production","Powder",13,6651.94670952381,0.5,NA,"0.5",1,NA,NA,10,8
"Methane Production","Powder",14,6640.30715263158,0.452380952380952,NA,"0.452380952380952",1,NA,NA,8,4
"Methane Production","Powder",15,738.72625,0.285714285714286,NA,"0.285714285714286",1,NA,NA,5,6
"Missing","CookInlet",6,9.035825,0.659340659340659,NA,"0.659340659340659",1,NA,NA,1,2
"Missing","CookInlet",8,9.5148,0.604395604395604,NA,"0.604395604395604",1,NA,NA,2,7
"Missing","CookInlet",9,25424.8696434783,0.252747252747253,NA,"0.252747252747253",1,NA,NA,5,1
"Missing","CookInlet",10,74506.0724307692,0.142857142857143,NA,"0.142857142857143",1,NA,NA,3,8
"Missing","CookInlet",11,8840.68558,0.384615384615385,NA,"0.384615384615385",1,NA,NA,4,3
"Nitrogen","CookInlet",6,8.77573177966102,0.671408250355619,NA,"0.671408250355619",1,NA,NA,1,1
"Nitrogen","CookInlet",8,9.24191567695962,0.598862019914651,NA,"0.598862019914651",1,NA,NA,2,10
"Nitrogen","CookInlet",9,3629.44494678899,0.155049786628734,NA,"0.155049786628734",1,NA,NA,14,12
"Nitrogen","CookInlet",10,8747.40262083333,0.102418207681366,NA,"0.102418207681366",1,NA,NA,6,1
"Nitrogen","CookInlet",11,8836.77925196506,0.32574679943101,NA,"0.32574679943101",1,NA,NA,3,7
"Nitrogen","Illinois",1,3082.42234226489,0.240899702807635,0.0618145769170682,"0.171617161716172-0.260675273088381-0.290406673618352",3,0.302714279724703,0.179085125890567,13,4
"Nitrogen","Illinois",2,8126.26298092819,0.552966819774242,0.0404696878868923,"0.508722300801509-0.562065541211519-0.588112617309698",3,0.593436507661134,0.51249713188735,9,11
"Nitrogen","Illinois",3,14034.7887675937,0.730364713501689,0.0143801483402386,"0.746346063177746-0.718470705064548-0.726277372262774",3,0.744744861841928,0.715984565161451,12,5
